business_name,email
AUDITAIR HELIDECK CERTIFICATION PTE LTD,office@auditair.net
AUSTRALIA & NEW ZEALAND BANKING GROUP LIMITED,mark.evans@anz.com
AUSTRALIAN INTERNATIONAL SCHOOL PTE LTD,admissions@ais.com.sg
AVIENT COLORANTS SINGAPORE PTE LTD,gladys.soh@avient.com
AWP PTE LTD,edward@awparchitects.com
BANYAN TREE HOLDINGS LIMITED,shelly.yeo@banyantree.com
BASF SOUTH EAST ASIA PTE LTD,june.ha@basf.com
BATU NETWORKS PTE LTD,dylan.jeon@batunetworks.com
BAYER (SOUTH EAST ASIA) PTE LTD,sg.comms@bayer.com
BDO LLP,frankiechia@bdo.com.sg
BECTON DICKINSON HOLDINGS PTE LTD,jaya_ganesh@bd.com
BEDELL CRISTIN (SINGAPORE) LLP,kristian.wilson@bedellcristin.com
BEHN MEYER & CO. (PTE) LTD,vinchong@behnmeyer.com.sg
BIRD & BIRD ATMD LLP,singapore@twobirds.com
BLACAZ PRIVATE LIMITED,concierge@blacaz.com
BLACK MOUNTAIN (SINGAPORE) PTE LTD,susan.lim@blackmountainhr.com
BNF ENGINEERING (S) PTE LTD,eps@bnf.com
BNP PARIBAS SINGAPORE BRANCH,pauline.ang@asia.bnpparibas.com
BNS ASIA LIMITED,bns.asia@scotiabank.com
BRIDGESTONE SINGAPORE PTE LTD,takanori.umeda@bridgestone.com
BRITISH AMERICAN TOBACCO SALES & MARKETING SINGAPORE PTE LTD,paul_weaver@bat.com
BRUNSWICK GROUP PTE LIMITED,singapore@brunswickgroup.com
BULBS PTE LTD,hello@bulbs.sg
C. MELCHERS GMBH & CO.,jenniferteo@melchers.com.sg
CANON SINGAPORE PTE LTD,general@canon.com.sg
CAXTON & CO SERVICES PRIVATE LIMITED,nomita.nair@caxtonandco.com
CBRE PTE LTD,cbremarcomms@cbre.com.sg
CELANESE PTE LTD,cheeeng.kuek@celanese.com
CFO CENTRE PTE LTD,steve.settle@cfocentre.com
CHARLES & KEITH INTERNATIONAL PTE LTD,admin@charleskeith.com
CHEVRON PHILLIPS CHEMICALS ASIA PTE LTD,wraycr@cpchem.com
CHEVRON PHILLIPS SINGAPORE CHEMICALS (PRIVATE) LIMITED,wraycr@cpchem.com
CHEVRON SINGAPORE PTE LTD,tatwin.law@chevron.com
CHUBB INSURANCE SINGAPORE LIMITED,juliana.lim@chubb.com
CIRCULATE CAPITAL MANAGEMENT PTE LTD,hello@circulatecapital.com
CLIMATE RESOURCES EXCHANGE INTERNATIONAL PTE LTD,v.kesava@climate-resources.com
CMS CAMERON MCKENNA NABARRO OLSWANG (SINGAPORE) LLP,toby.grainger@cms-cmno.com
COMMSCOPE SOLUTIONS SINGAPORE PTE LTD,lchen@commscope.com
CONNELL BROS CO (SINGAPORE) PTE LTD,kokkuen.chee@wecocbc.com
CONRAD CENTENNIAL SINGAPORE,conrad_singapore@conradhotels.com
CONTINENTAL TIRES HOLDING SINGAPORE PTE LTD,falk.seefeldt@continental-corporation.com
CONTROL RISKS GROUP (S) PTE LTD,singapore@controlrisks.com
CONVENE SG PTE LTD,sales@azeusconvene.com
CORELLE BRANDS (ASIA PACIFIC) PTE LTD,hunghuixian@corellebrands.com
CRIMSONLOGIC PTE LTD,francishuan@crimsonlogic.com
CROWN WORLDWIDE PTE LTD,jkoh@crownww.com
CRYOVIVA SINGAPORE PTE LTD,acc2@cryoviva.com.sg
CURTIN EDUCATION CENTRE PTE LTD,accounts@curtin.edu.sg
CWT PTE LIMITED,e-mail@cwtlimited.com
CYBER TEST SYSTEMS PTE LTD,gregory.fresnais@cybertestsystems.com.sg
CYRIL AMARCHAND MANGALDAS (SINGAPORE) PTE LTD,vivek.kathpalia@cyrilshroff.com
DBS BANK LTD,dbs_care@dbs.com
DELIVERY HERO (SINGAPORE) PTE LTD,drew.shih@foodpanda.sg
DENIS ASIA PACIFIC PTE LTD,info@denisgroup.net
DENTONS RODYK & DAVIDSON LLP,sg.mail@dentons.com
DEUTSCHE BANK AG SINGAPORE OFFICE,david.lynne@db.com
DEUTZ ASIA-PACIFIC (PTE) LTD,dap@deutz.com
DEXIN COMMODITIES PTE LTD,dexin@pacific.net.sg
DIASHAM RESOURCES PTE LTD,enquiries@diasham.com.sg
DIGITAL BUSINESS LAB SG PTE LTD,hello@db-lab.com
DIP INVESTMENTS PTE LTD,jaslyn@moharmedical.com
DKSH SINGAPORE PTE LTD,lupi.hariarti@dksh.com
DOVER COURT INTERNATIONAL SCHOOL (PTE) LTD,enquiries@dovercourt.edu.sg
DOW CHEMICAL PACIFIC (SINGAPORE) PTE LTD,pfong@dow.com
DREW & NAPIER LLC,mail@drewnapier.com
DSV AIR & SEA SINGAPORE PTE LTD,gino.marzola@sg.dsv.com
DYNABOOK SINGAPORE PTE LTD,grace.wong@dynabook.com
EASY HR PTE LTD,easyclaims@davidho.sg
ENDRESS + HAUSER ( S.E.A. ) PTE LTD,info.sg@endress.com
ENERGY INSTITUTE (EI) SINGAPORE PTE LTD,singapore@energyinst.org
ENGECO PTE LTD,info@engeco.com.au
ENLITHO PRIVATE LIMITED,nicholas_oh@enlitho.com.sg
EQUINIX SINGAPORE PTE LTD,ymleong@ap.equinix.com
ERCO LIGHTING PTE LTD,j.tan@erco.com
ERICSSON TELECOMMUNICATIONS PTE LTD,martin.wiktorin@ericsson.com
ERNST & YOUNG LLP,geok-hui.yap@sg.ey.com
ESSEC,essecasia@essec.edu
ESTEE LAUDER DISTRIBUTION CENTER PTE LTD,skovela@sg.estee.com
ESTHEIA PTE LTD,massimo.bellino@mandacompass.com
ETIHAD AIRWAYS PJSC,joannapatterson@etihad.ae
EXPONENT GLOBAL CONSULTING PTE LTD,ojha.mrigank@exponent.com.sg
EXXONMOBIL ASIA PACIFIC PTE LTD,karen.ty.wong@exxonmobil.com
FEDERAL EXPRESS (S) PTE LTD,sgcs@fedex.com
FEDERAL HARDWARE ENGINEERING CO PTE LTD,admin@federal-int.com.sg
FIRST ABU DHABI BANK PJSC - SINGAPORE BRANCH,ananth.ramachandran@bankfab.com
FORBES MARSHALL INTERNATIONAL PTE LTD,dfforbes@forbesmarshall.com
FRAGOMEN SINGAPORE PTE LTD,mbuchanan@fragomen.com
FRESHFIELDS BRUCKHAUS DERINGER SINGAPORE PTE LTD,stephen.revell@freshfields.com
FUJI TRADING (SINGAPORE) PTE LTD,info@fujifts.com
FUJIFILM BUSINESS INNOVATION ASIA PACIFIC PTE LTD,fiann.yong.ns@fujifilm.com
FUJITEC SINGAPORE CORPN LTD,fujitec.fsp@sg.fujitec.com
FUTURE-MOVES GROUP PTE LTD,contactus@future-moves.com
GALAXY INSURANCE CONSULTANTS PTE LTD,insurance@galaxyconsultants.com
GALAXY MINERALS SINGAPORE PTE LTD,rajesh@galaxyminerals.sg
GEA WESTFALIA SEPARATOR (S.E.A.) PTE LTD,sales.singapore@gea.com
GENEVA MASTER TIME MARKETING LLP,stella.teo@gmtsingapore.com
GEOPRO OILFIELD TECHNOLOGIES PTE LTD,info@geoprotech.com
GITI TIRE GLOBAL TRADING PTE LTD,inquiry-sg@giti.com
GIVAUDAN SINGAPORE PTE LTD,cresswell.chew@givaudan.com
GLOBAL PARTNERS CONSULTING PTE LTD,julia.chiu@gpc-gr.com
GLOBAL PARTNERS CONSULTING PTE LTD,julia.chiu@g-pc.co.jp
GLOBALIZATION PARTNERS PTE LTD,lkwek@globalization-partners.com
GOOD CONNECT PTE LTD,taruna@thegoodconnect.org
GOODWOOD PARK HOTEL PRIVATE LIMITED,enquiries@goodwoodparkhotel.com
GOODYEAR ORIENT COMPANY (PRIVATE) LIMITED,thibaut_weber@goodyear.com
"GOVERNMENT OF WESTERN AUSTRALIA, SINGAPORE OFFICE",krista.dunstan@jtsi.wa.gov.au
GRAND RUBBER (SINGAPORE) PTE LTD,julinn.siah@grand-trade.com
HALCYON AGRI CORPORATION LIMITED,engkiat@halcyonagri.com
HAND GLOBAL SOLUTIONS PTE LTD,yan.chen@hand-sg.com
HARDSKILLS PTE LTD,info@hardskills.com
HAW PAR CORPORATION LIMITED,investorrelations@hawpar.com
HEIDRICK & STRUGGLES SINGAPORE PTE LTD,singapore@heidrick.com
HELIXTAP TECHNOLOGIES PRIVATE LIMITED,trade@helixtap.com
HEMATO PTE LTD,hemato@hemato.biz
HEUBACH COLORANTS SINGAPORE PTE LTD,weishin.tang@clariant.com
HIKOKI POWER TOOLS (SINGAPORE) PTE LTD,johnson.ang@hikoki-powertools.hk
HINRICH FOUNDATION LIMITED,inquiry@hinrichfoundation.com
HITACHI CONSTRUCTION MACHINERY ASIA AND PACIFIC PTE LTD,sgp-hra@hitachi-kenki.com
HITACHI VANTARA PTE LIMITED,Mabel.wee@hitachivantara.com
HMZ PTE LTD,intl_coordination@yahoo.com
HONG KONG ECONOMIC AND TRADE OFFICE,hketo_sin@hketosin.gov.hk
HONG LEONG FINANCE LIMITED,customerservice@hlf.com.sg
HORUS DEVELOPMENT & CONSULTING PTE LTD,b.badufle@horusdvcs.com
HUMAN CAPITAL LEADERSHIP INSTITUTE PTE LTD,contactus@hcli.org
HUP SOON GLOBAL CORPORATION LIMITED,tyong@hupsoon.com
I4TECH PTE LTD,jobrucan@i4-tech.io
ICAEW SOUTH EAST ASIA LIMITED,jeanette.gomes@icaew.com
IMAGENE CREATIVE PRIVATE LIMITED,imagenecreativesg@gmail.com
IN MIND CLOUD PTE LTD,engage@inmindcloud.com
INCLUDO PTE LTD,diana@bester.id
INDEPINK PTE LTD,yewonn@indepink.com
INEOS STYROLUTION APAC PTE LTD,shirley.tung@ineos.com
INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,support@infineon.com
INFINYE INCORPORATED PTE LTD,reeta.sabnani@infinye.com
INSEAD,joana.teo@insead.edu
INSECT FEED TECHNOLOGIES PRIVATE LIMITED,business@insectfeedtechnologies.com
INSTACHECK PTE LTD,ronnie@instacheck.tech
INTEGRO TECHNOLOGIES PTE LTD,inquiry@integrosys.com
INTERNATIONAL COMMUNITY SCHOOL (S) LTD,director@ics.edu.sg
INTERNATIONAL FRENCH SCHOOL (SINGAPORE) LTD,resplegal@ifs.edu.sg
INTERNATIONAL SOS PTE LTD,workforce.resilience@internationalsos.com
INTERROLL (ASIA) PTE LTD,sg.sales@interroll.com
INTERTEK TESTING SERVICES (SINGAPORE) PTE LTD,mansi.madan@intertek.com
INWAH PRIVATE LIMITED,inwah@singnet.com.sg
IOTA MEDTECH PTE LTD,benjamin.hong@iotamedtech.com
IQ EQ CONSULTANTS (SINGAPORE) PTE LTD,michael.marquardt@iqeq.com
IRAWADY INVESTMENT PTE LTD,enquiry@irawady.com
IRON MOUNTAIN SINGAPORE PTE LTD,sales.enquiry@ironmountain.com
ISS INTERNATIONAL SCHOOL PTE LTD,ceo@iss.edu.sg
ITOCHU SINGAPORE PTE LTD,js.yeo@itochu.com.sg
JARDINE CYCLE & CARRIAGE LTD,corporate.affairs@jcclgroup.com
JBS PRACTICE PUBLIC ACCOUNTING CORPORATION,office@jbsaudit.com
JEBSEN & JESSEN PTE LTD,per_magnusson@jjsea.com
JF HILLEBRAND SINGAPORE PTE LTD,i.chin@jfhillebrand.com
JOHNSON & JOHNSON PTE LTD,arohani@its.jnj.com
JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,singapore.marketing@ap.jll.com
JOYCE A. TAN & PARTNERS LLC,all@joylaw.com
"JP MORGAN CHASE BANK, N.A.",wai.mei.hong@jpmorgan.com
JT INTERNATIONAL SINGAPORE PTE LTD,geraldine.teo@jti.com
JULIA GABRIEL EDUCATION PTE LTD,fionawalker@chilternhouse.com.sg
K&L GATES STRAITS LAW LLC,rahim.kassim@klgates.com
KIM SENG HUAT HARDWARE PTE LTD,sales@ksh.com.sg
KIRBY BUILDING SYSTEMS (SINGAPORE) PTE LTD,praveen.kumar@kirby.vn
KNIGHT FRANK PTE LTD,enquiry@sg.knightfrank.com
KOERBER SUPPLY CHAIN SG PTE LTD,info.sc.sgp@koerber-supplychain.com
KOREA TRADE-INVESTMENT PROMOTION AGENCY,info@kotra.sg
KULICKE & SOFFA PTE LTD,ccchia@kns.com
KUOK (SINGAPORE) LIMITED,hsinyue.yong@kuokgroup.com.sg
LATHAM & WATKINS LLP,chor.heah.poon@lw.com
LEACONFIELD CAPITAL PTE LTD,ckchua@shentonworld.com.sg
LEE & LEE,adrianchan@leenlee.com.sg
LEE KIM TAH HOLDINGS LIMITED,info@leekimtah.com
LEICA INSTRUMENTS (SINGAPORE) PTE LTD,choo-kiong.ho@leica-microsystems.com
LF CENTENNIAL PTE LTD,rajeshranavat@fung1937.com
LIGHTBULB CAPITAL (SINGAPORE) PTE LTD,info@lightbulbcap.com
LLOYD HOLDINGS PTE LTD,admin@lloyd-holdings.com
LONDON SCHOOL OF BUSINESS & FINANCE PTE LTD,rgovind@lsbf.edu.sg
LOUIS VUITTON (SINGAPORE) PTE LTD,jennifer.goh@sg.vuitton.com
LUBRIZOL SOUTHEAST ASIA (PTE) LTD,paul.nai@lubrizol.com
MAGIS CONSULTING PTE LTD,paolo.bortolotto@gmail.com
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,linda.teo@manpower.com.sg
MAPLETREE FACILITIES SERVICES PTE LTD,industrial@mapletree.com.sg
MARSH (SINGAPORE) PTE LTD,collin.yap@marsh.com
MARUBENI ASEAN PTE LTD,daniel-c@marubeni.com
MASON PARTNERS CONSULTING PTY LIMITED,peter@masonconsulting.com.au
MASTERCARD ASIA/PACIFIC PTE LTD,shafi.shaikh@mastercard.com
MAXIMUS ASIA PTE LTD,alistairmoreton@maximussingapore.sg
MAXSOFT PTE LTD,maxsoft@pacific.net.sg
MAYER BROWN (SINGAPORE) PTE LTD,pieter.deridder@mayerbrownjsm.com
ME TECH PTE LTD,hello@metech.dev
MHE-DEMAG (S) PTE LTD,burton_chua@mhe-demag.com
MICROSOFT OPERATIONS PTE LTD,kevin.wo@microsoft.com
MIRACLON SINGAPORE PTE LTD,www.miraclon.com
MITSUBISHI HEAVY INDUSTRIES ASIA PACIFIC PTE LTD,annette.yoh.sa@mhi.com
MITSUI & CO (ASIA PACIFIC) PTE LTD,spaaa@dg.mitsui.com
MOHAMED MUSTAFA AND SAMSUDDIN CO PTE LTD,mustaq@mustafa.com.sg
MORI HAMADA & MATSUMOTO (SINGAPORE) LLP,mhm_info@mhmjapan.com
MOTION PTE LTD,juliana@motion.com.sg
MSAS HOLDINGS PTE LTD (SCF GLOBAL),veronica.tang@scf-global.com
MSIG ASIA PTE LTD,esther_ong@msig-asia.com
MSIG INSURANCE (SINGAPORE) PTE LTD,service@sg.msig-asia.com
"MUFG BANK, LTD",sosuke_kondo@sg.mufg.jp
MURATA ELECTRONICS SINGAPORE (PTE) LTD,shane.lim@murata.com
N.P. FOODS (SINGAPORE) PTE LTD,nps-sin@npsin.com
NAGASHIMA OHNO & TSUNEMATSU SINGAPORE LLP,info-singapore@noandt.com
NAMAZIE INTERNATIONAL PRIVATE LTD,sgtraders@natural-rubber.com
NANYANG TECHNOLOGICAL UNIVERSITY,corrine.ong@ntu.edu.sg
NATIONAL AUSTRALIA BANK LIMITED,krista.baetens@nabasia.com
NEP SINGAPORE PTE LTD,saeed.izadi@nepgroup.com
NESTLE SINGAPORE (PTE) LTD,rajiv.deraniyagala@sg.nestle.com
NETWORK BOX (SIN) PTE LTD,enquiry@network-box.sg
NEW TIDE CONSULTING SERVICES,nikhil.menon@newtideconsultingservices.com
NEWLAND CHASE PTE LTD,latha.olavatth@newlandchase.com
NEXUS INTERNATIONAL SCHOOL (SINGAPORE) PTE LTD,enquiry@nexus.edu.sg
NIMAI TRADE FINTECH PTE LTD,info@360tf.trade
NISHIMURA & ASAHI (SINGAPORE) LLP,info_singapore@jurists.jp
NOURYON SURFACE CHEMISTRY PTE LTD,sumitro.witjaya@nouryon.com
NTT SINGAPORE PTE LTD,info.sg@global.ntt
OCEANIA ROBOTICS PTE LTD,raymond@oceaniarobotics.com
OCEANMASTER ENGINEERING PTE LTD,eewin.lee@oceanmaster.com.sg
OLAM COCOA PTE LTD,chye.yeong@ofi.com
OLAM GLOBAL AGRI PTE LTD,secretariat@olamagri.com
OLYMPUS SINGAPORE PTE LTD,ifax.osp@olympus.com.sg
OMNI-HEALTH PTE LTD,finance@omnihealthtech.com
ONE A-TEAMS CONSULTANTS PTE LTD,consultants@one-a-teams.com
ORANGE BUSINESS SERVICES SINGAPORE PTE LTD,diana.tan@orange.com
OVERSEAS VENTURES PTE LTD,ovpl@ovplsg.com
P.L. GLOBAL IMPEX PTE LTD*,finance.sg@plglobal.com
PACIFIC CENTURY REGIONAL DEVELOPMENTS LIMITED,peter@pccw.com
PALO IT SINGAPORE PTE LTD,eyang@palo-it.com
PATEK PHILIPPE ASIAN DISTRIBUTION PTE LTD,melchersa@melchers.com.sg
PETROCHEMICAL CORPORATION OF SINGAPORE (PRIVATE) LIMITED,pcsapr@pcs-chem.com.sg
PHILIP MORRIS SINGAPORE PTE LTD,pmsingapore@pmi.com
PHOON HUAT PTE. LTD.,customerservice@phoonhuat.com
PICKERING PACIFIC PTE LTD,info@pickeringpacific.com
PIRELLI ASIA PTE LTD,marcomms.singapore@pirelli.com
POKKA PTE LTD,we_care@pokka.com.sg
POLYMEDIC TRADING ENTERPRISE PTE LTD,pharma@polymedic.com
PRAXIS MANAGEMENT CONSULTING PTE LTD,robyn@praxismanagementconsulting.com
PRICEWATERHOUSECOOPERS LLP,sg_pwc_business_enquiry@pwc.com
PROJECT ORBIS INTERNATIONAL INC (SINGAPORE) LTD,marie.wang@orbis.org
PSB ACADEMY PTE LTD,contactus@psb-academy.edu.sg
QATAR NATIONAL BANK (Q.P.S.C.),silas.lee@qnb.com
QBE INSURANCE (SINGAPORE) PTE LTD,cecilia.pay@qbe.com
QMODITY PTE LTD,contact@qmodity.sg
R1 INTERNATIONAL PTE LTD,enquiries@r1international.com
RAJAH & TANN SINGAPORE LLP,malini.padmanabhan@rajahtann.com
REPRESENTATIONS INTERNATIONAL PTE LTD,representations@arc.com.sg
REPUBLIC POLYTECHNIC,sharon_ng@rp.edu.sg
RESORTS WORLD AT SENTOSA PTE LTD,adeline.l@rwsentosa.com
RHEEM MANUFACTURING COMPANY (SINGAPORE) PTE LTD,rheem@rheemasia.com
RHEINMETALL SINGAPORE PTE LTD,phua.siewli@rheinmetall.sg
RIABU LLP,mark.laudi@riabu.com
ROCHE DIAGNOSTICS ASIA PACIFIC PTE LTD,singapore.diag@roche.com
ROHDE & SCHWARZ REGIONAL HEADQUARTERS SINGAPORE PTE LTD,jhosie.pinlac@rohde-schwarz.com
ROXCEL SINGAPORE PTE LTD,susie.lee@roxcel.com
RSS TRANSPACK PTE LTD,jack@rss1877.com
RUSTIC TRAVEL MANAGEMENT PTE LTD,peter@rustic-travel.com
S. K. ROSENBAUER PTE LTD,sales.sg@rosenbauer.com
SAAA@SINGAPORE,saaasin@saaa.org.sg
SAFRON PTE LTD,support@safronltd.com
SANDVIK SOUTH EAST ASIA PTE LTD,info@sandvik.com
SAXO CAPITAL MARKETS PTE LTD,kvl@saxomarkets.com
SCHOTT SINGAPORE PTE LTD,benjamin.lim@schott.com
SEA CODING ACADEMY PTE LTD,singapore@lewagon.org
SECURE INFORMATION MANAGEMENT (ASIA PACIFIC) PTE LTD,paul.lee@sim-ap.com
SECURITY & RISK SOLUTIONS PTE LTD,jon@security-risksolutions.com
SEFE MARKETING & TRADING SINGAPORE PTE LIMITED,info.singapore@gazprom-mt.com
SEMBCORP INDUSTRIES LTD,robert.chong@sembcorp.com
SEMBCORP PARKS MANAGEMENT PTE LTD,andy.yeo@sembcorp.com
SEMPERIT INVESTMENTS ASIA PTE LTD,kalwant.singh@semperitgroup.com
SEW-EURODRIVE PTE LTD,sewsingapore@sew-eurodrive.com
SGS TESTING & CONTROL SERVICES SINGAPORE PTE LTD,sgs.singapore@sgs.com
SHANGRI-LA HOTEL LIMITED,sls@shangri-la.com
SHEARMAN & STERLING LLP,aschleider@shearman.com
SHELL EASTERN PETROLEUM (PTE) LTD,tell-shell@shell.com
SHINMAYWA (ASIA) PTE LTD,tanaka@shinmaywa.com.sg
SHOWTEC INTERNATIONAL PTE LTD,joanna@showtecgroup.com
SIEMENS PTE LTD,info.sg@siemens.com
SIN MIAN PTE LTD,enquiry@sinmian.sg
SINGAPORE AIRLINES LTD,public_affairs@singaporeair.com.sg
SINGAPORE AMERICAN SCHOOL LIMITED,rlee@sas.edu.sg
SINGAPORE INSTITUTE OF MANAGEMENT GROUP LIMITED,study@sim.edu.sg
SINGAPORE MANAGEMENT UNIVERSITY,wlchan@smu.edu.sg
SINGAPORE SHIPPING AGENCIES PTE LTD,agency@singaporeshipping.com.sg
SINGAPORE TONG TEIK (PTE) LTD,general@singtongteik.com.sg
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN (SUTD),advancement@sutd.edu.sg
SINGAPOREAN-GERMAN CHAMBER OF INDUSTRY AND COMMERCE,info@sgc.org.sg
SINOTURK TRADING PTE LTD,sinoturk@sinoturk.com
SJ MOBILE LABS PTE LTD,samghiotti@gmail.com
SKF ASIA PACIFIC PTE LTD,kheng.hwee.michael.saw@skf.com
SMITH & NEPHEW PTE LIMITED,doris.wong@smith-nephew.com
SNAP-ON TOOLS SINGAPORE PTE LTD,tan.teck.soon@snapon.com
SOCIETE INTERNATIONALE DE PLANTATIONS D'HEVEAS (SINGAPORE BRANCH),mhampson@siph.com
SODEXO SINGAPORE PTE LTD,royce.lim@sodexo.com
SOJITZ ASIA PTE LTD,teo.stephen@sojitz.com
SOLSTAD OFFSHORE ASIA PACIFIC PTE LTD,singapore.finance@solstad.com
SONY ELECTRONICS (SINGAPORE) PTE LTD,audrey.mok@sony.com
SONY ELECTRONICS ASIA PACIFIC PTE LTD,audrey.mok@sony.com
SOUTHLAND GLOBAL PTE LTD,christian@southlandglobal.com
SOVEREIGN SOLUTIONS PTE LTD,tarun@sovereignsolutions.com
STATE BANK OF INDIA*,contactus@sbising.com
STEPHENSON HARWOOD LLP,martin.green@shlegal.com
STMICROELECTRONICS PTE LTD,bertrand.stoltz@st.com
STRIDES DST PTE LTD (EVCO),yuehmei.ho@evco.global
SUMITOMO CHEMICAL ASIA PTE LTD,eugenetan@sumitomo-chem.com.sg
SUMITOMO CORPORATION ASIA & OCEANIA PTE LTD,web-enquiries@sumitomocorp.com
SUMITOMO MITSUI BANKING CORPORATION SINGAPORE BRANCH,foong_yen_ang@sg.smbc.co.jp
SUMMIT POWER INTERNATIONAL LIMITED,general@summitpowerinternational.com
SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE,sales@suntecsingapore.com
SWEETYET DEVELOPMENT PTE LTD,jethro.bay@sdl-group.com
SWISS CLUB,recept@swissclub.org.sg
SYMRISE ASIA PACIFIC PTE LTD,may.leong@symrise.com
SYSMEX ASIA PACIFIC PTE LTD,buescher.frank@sysmex-ap.com
TAIKISHA (SINGAPORE) PTE LTD,tsn@taikisha.com.sg
TANGLIN TRUST SCHOOL LTD,communications@tts.edu.sg
TATA CONSULTANCY SERVICES ASIA PACIFIC PTE LTD,mohamed.irshad@tcs.com
TAXISE ASIA LLC,info@taxise-asia.com
TCRC INSPECTIONS FAR EAST PTE LTD,contact@tcrcgroup.com.sg
TEKTRONIX SOUTHEAST ASIA PTE LTD,teksea-event-admin@tektronix.com
